distribuidora;cliente;preventista;supervisor;supervisorpepsico;jefedeventas;gerente;dueno;tipo;taxo;portafolio;exhibidores;planograma;preciosvisibles;rotacionpreventiva;porcentajetiendaperfecta;tiendaperfecta;validacion;idtienda
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;1;1;73;0;0;55052
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;1;1;62;0;0;55053
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;69;0;0;55054
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;1;1;68;0;0;55055
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;C;0;1;1;1;1;80;0;0;55056
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;1;1;1;76;0;0;55057
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;1;1;76;0;0;55058
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;0;0;0;1;43;0;0;55059
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;71;0;0;55060
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;57;0;0;55061
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;52;0;0;55062
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;C;0;1;0;1;1;66;0;0;55063
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;0;1;60;0;0;55064
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;0;1;63;0;0;55065
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;62;0;0;55066
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;0;1;61;0;0;55067
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;1;1;53;0;0;55068
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;0;1;61;0;0;55069
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;A;0;1;0;1;1;57;0;0;55070
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;0;1;52;0;0;55071
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;55;0;0;55072
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;1;1;70;0;0;55073
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;0;1;59;0;0;55074
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;59;0;0;55075
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;5;0;0;55076
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;1;1;67;0;0;55077
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;0;1;51;0;0;55078
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;0;1;49;0;0;55079
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;0;1;60;0;0;55080
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;0;1;55;0;0;55081
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;52;0;0;55082
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;71;0;0;55083
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;0;1;59;0;0;55084
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;1;1;62;0;0;55085
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;1;0;1;83;0;0;55086
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;68;0;0;55087
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;0;1;57;0;0;55088
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;68;0;0;55089
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;65;0;0;55090
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;0;0;0;0;20;0;0;55091
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;0;0;0;0;24;0;0;55092
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;1;1;1;86;0;0;55093
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;1;1;73;0;0;55094
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;75;0;0;55095
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;A;0;1;0;0;1;56;0;0;55096
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;0;0;1;1;33;0;0;55097
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;1;1;1;70;0;0;55098
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;1;0;1;79;0;0;55099
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;A;0;0;0;0;1;25;0;0;55100
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;0;1;58;0;0;55101
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;0;1;69;0;0;55102
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;C;0;1;1;1;1;76;0;0;55103
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;C;0;1;0;1;1;68;0;0;55104
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;C;0;1;0;1;1;73;0;0;55105
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;58;0;0;55106
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;1;1;70;0;0;55107
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;1;1;1;84;0;0;55108
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;1;1;60;0;0;55109
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;A;0;1;1;0;1;68;0;0;55110
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;1;1;0;1;1;90;1;0;55111
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;0;0;0;0;20;0;0;55112
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;1;1;73;0;0;55113
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;0;1;60;0;0;55114
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;51;0;0;55115
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;0;0;0;0;3;0;0;55116
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;1;1;66;0;0;55117
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;1;1;80;0;0;55118
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;55;0;0;55119
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;0;1;60;0;0;55120
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;61;0;0;55121
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;1;1;76;0;0;55122
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;55;0;0;55123
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;1;1;69;0;0;55124
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;A;0;1;0;1;1;56;0;0;55125
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;0;1;61;0;0;55126
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;1;1;66;0;0;55127
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;55;0;0;55128
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;0;0;0;0;10;0;0;55129
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;A;0;1;0;1;1;63;0;0;55130
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;71;0;0;55131
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;1;0;1;75;0;0;55132
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;0;1;62;0;0;55133
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;1;1;53;0;0;55134
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;1;1;66;0;0;55135
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;62;0;0;55136
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;0;1;55;0;0;55137
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;1;1;60;0;0;55138
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;0;1;59;0;0;55139
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;1;1;64;0;0;55140
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;0;1;0;1;48;0;0;55141
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;1;1;56;0;0;55142
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;52;0;0;55143
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;0;1;62;0;0;55144
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;0;1;53;0;0;55145
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;0;1;67;0;0;55146
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;59;0;0;55147
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;1;1;67;0;0;55148
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;8;0;0;55149
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Autoservicio;C;0;1;0;1;1;71;0;0;55150
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;1;1;62;0;0;55151
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;1;1;79;0;0;55152
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;1;1;76;0;0;55153
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;A;0;1;0;0;1;59;0;0;55154
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;10;0;0;55155
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;0;0;1;61;0;0;55156
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;0;1;63;0;0;55157
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;15;0;0;55158
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;0;1;58;0;0;55159
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;0;0;0;0;13;0;0;55160
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;0;0;0;0;16;0;0;55161
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;71;0;0;55162
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;0;1;1;70;0;0;55163
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;1;1;1;82;0;0;55164
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;1;1;1;70;0;0;55165
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;0;0;1;1;23;0;0;55166
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;10;0;0;55167
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;0;1;54;0;0;55168
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;1;1;73;0;0;55169
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;48;0;0;55170
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;14;0;0;55171
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;A;0;0;0;0;1;26;0;0;55172
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;1;1;1;78;0;0;55173
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;65;0;0;55174
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;1;0;0;1;58;0;0;55175
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;1;0;1;1;78;0;0;55176
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;1;0;0;1;61;0;0;55177
SNACKING SRL;24;23242188;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;29;0;0;55178
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;1;1;1;78;0;0;55179
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;10;0;0;55180
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;0;0;0;0;8;0;0;55181
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;3;0;0;55182
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;16;0;0;55183
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;0;0;0;0;2;0;0;55184
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;5;0;0;55185
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;0;0;0;0;10;0;0;55186
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;16;0;0;55187
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Kiosco;B;0;0;0;0;0;4;0;0;55188
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;0;0;0;0;12;0;0;55189
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;0;0;0;0;18;0;0;55190
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;2;0;0;55191
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;22;0;0;55192
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;0;0;0;0;20;0;0;55193
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;0;0;0;0;13;0;0;55194
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;0;0;0;0;17;0;0;55195
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Kiosco;A;0;1;1;1;1;77;0;0;55196
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;12;0;0;55197
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Autoservicio;B;0;1;1;1;1;76;0;0;55198
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;26;0;0;55199
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;0;0;0;0;23;0;0;55200
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;1;1;1;82;0;0;55201
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;0;0;0;0;16;0;0;55202
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;0;0;0;0;15;0;0;55203
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;16;0;0;55204
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;0;0;0;0;6;0;0;55205
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;12;0;0;55206
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;12;0;0;55207
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;1;1;1;1;82;0;0;55208
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;17;0;0;55209
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;0;0;0;0;11;0;0;55210
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;10;0;0;55211
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;0;0;0;0;12;0;0;55212
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Kiosco;C;0;0;0;0;0;3;0;0;55213
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;C;0;0;0;0;0;10;0;0;55214
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;1;1;1;1;82;0;0;55215
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;0;0;0;0;22;0;0;55216
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;0;0;0;0;14;0;0;55217
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Autoservicio;C;0;1;1;1;1;81;0;0;55218
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;0;0;0;0;10;0;0;55219
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;B;0;0;0;0;0;18;0;0;55220
SNACKING SRL;25;28394273;329200524;29961311;29941755;26933144;18420503;Tradicional;A;0;0;0;0;0;8;0;0;55221
